,away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week
199,New Orleans Saints,nor,New York Jets,nyj,,,14
200,Las Vegas Raiders,rai,Kansas City Chiefs,kan,,,14
201,Seattle Seahawks,sea,Houston Texans,htx,,,14
202,Baltimore Ravens,rav,Cleveland Browns,cle,,,14
203,New York Giants,nyg,Los Angeles Chargers,sdg,,,14
204,Detroit Lions,det,Denver Broncos,den,,,14
205,Buffalo Bills,buf,Tampa Bay Buccaneers,tam,,,14
206,Chicago Bears,chi,Green Bay Packers,gnb,,,14
207,Los Angeles Rams,ram,Arizona Cardinals,crd,,,14
208,Kansas City Chiefs,kan,Los Angeles Chargers,sdg,,,15
209,Las Vegas Raiders,rai,Cleveland Browns,cle,,,15
210,Carolina Panthers,car,Buffalo Bills,buf,,,15
211,Green Bay Packers,gnb,Baltimore Ravens,rav,,,15
212,Tennessee Titans,oti,Pittsburgh Steelers,pit,,,15
213,Washington Football Team,was,Philadelphia Eagles,phi,,,15
214,Dallas Cowboys,dal,New York Giants,nyg,,,15
215,New York Jets,nyj,Miami Dolphins,mia,,,15
216,Houston Texans,htx,Jacksonville Jaguars,jax,,,15
217,Arizona Cardinals,crd,Detroit Lions,det,,,15
218,New England Patriots,nwe,Indianapolis Colts,clt,,,15
219,Atlanta Falcons,atl,San Francisco 49ers,sfo,,,15
220,Cincinnati Bengals,cin,Denver Broncos,den,,,15
221,Seattle Seahawks,sea,Los Angeles Rams,ram,,,15
222,New Orleans Saints,nor,Tampa Bay Buccaneers,tam,,,15
223,Minnesota Vikings,min,Chicago Bears,chi,,,15
224,San Francisco 49ers,sfo,Tennessee Titans,oti,,,16
225,Cleveland Browns,cle,Green Bay Packers,gnb,,,16
226,Indianapolis Colts,clt,Arizona Cardinals,crd,,,16
227,New York Giants,nyg,Philadelphia Eagles,phi,,,16
228,Jacksonville Jaguars,jax,New York Jets,nyj,,,16
229,Buffalo Bills,buf,New England Patriots,nwe,,,16
230,Los Angeles Rams,ram,Minnesota Vikings,min,,,16
231,Los Angeles Chargers,sdg,Houston Texans,htx,,,16
232,Baltimore Ravens,rav,Cincinnati Bengals,cin,,,16
233,Tampa Bay Buccaneers,tam,Carolina Panthers,car,,,16
